Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Left Arm,Spreadsheet: Right Arm,Spreadsheet: Left SR,Spreadsheet: Right SR,Spreadsheet: Left Payoff,Spreadsheet: Right Payoff,Spreadsheet: Condition,Spreadsheet: randomise_trials,Spreadsheet: block_flag,Spreadsheet: Win,Spreadsheet: Left Payoff Text,Spreadsheet: Right Payoff Text,Spreadsheet: Win Text,Manipulation: Spreadsheet,Store: greenBox.png,Store: blueBox.png,Store: points
11,1720094787109,04/07/2024 12:06:27,1720098387109,1,04/07/2024 14:06:27,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,2,Trial,Feedback Right,g47dtj,3,timedOut,,4005,4005,4005,4005,4005,4005,1,4005,0,0,,Time Limit,screen,0,screen,Trial,greenBox.png,blueBox.png,**R**,**S**,1,4,Win S = R,6,6,1,# You **won 1** point,# You **won 4** points,# Winning,,,,
12,1720094788077,04/07/2024 12:06:28,1720098388077,1,04/07/2024 14:06:28,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,3,Trial,Fixation,gnptrq,1,continue,,968,968,968,968,968,968,1,968,0,0,,Fixation Timing,Fixation,1,object-7,Trial,greenBox.png,blueBox.png,**R**,**S**,5,4,Win S = R,6,6,1,# You **won 5** points,# You **won 4** points,# Winning,,,,
13,1720094788970,04/07/2024 12:06:28,1720098388970,1,04/07/2024 14:06:28,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,3,Trial,Bandits,91qg1k,2,response,greenBox.png,883,867,883,883,867,883,1,883,0,0,,Click Response,Left Arm,1,object-17,Trial,greenBox.png,blueBox.png,**R**,**S**,5,4,Win S = R,6,6,1,# You **won 5** points,# You **won 4** points,# Winning,,,,
14,1720094792950,04/07/2024 12:06:32,1720098392950,1,04/07/2024 14:06:32,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,3,Trial,Feedback Left,n9r2n7,3,timedOut,,4006,4006,4006,4006,4006,4006,1,4006,0,0,,Time Limit,screen,0,screen,Trial,greenBox.png,blueBox.png,**R**,**S**,5,4,Win S = R,6,6,1,# You **won 5** points,# You **won 4** points,# Winning,,,,
15,1720094793917,04/07/2024 12:06:33,1720098393917,1,04/07/2024 14:06:33,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,4,Trial,Fixation,gnptrq,1,continue,,967,967,967,967,967,967,1,967,0,0,,Fixation Timing,Fixation,1,object-7,Trial,greenBox.png,blueBox.png,**R**,**S**,3,4,Win S = R,6,6,1,# You **won 3** points,# You **won 4** points,# Winning,,,,
16,1720094794444,04/07/2024 12:06:34,1720098394444,1,04/07/2024 14:06:34,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,4,Trial,Bandits,91qg1k,2,response,greenBox.png,518,501,518,518,501,518,1,518,0,0,,Click Response,Left Arm,1,object-17,Trial,greenBox.png,blueBox.png,**R**,**S**,3,4,Win S = R,6,6,1,# You **won 3** points,# You **won 4** points,# Winning,,,,
17,1720094798423,04/07/2024 12:06:38,1720098398423,1,04/07/2024 14:06:38,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,4,Trial,Feedback Left,n9r2n7,3,timedOut,,4005,4005,4005,4005,4005,4005,1,4005,0,0,,Time Limit,screen,0,screen,Trial,greenBox.png,blueBox.png,**R**,**S**,3,4,Win S = R,6,6,1,# You **won 3** points,# You **won 4** points,# Winning,,,,
18,1720094804754,04/07/2024 12:06:44,1720098404754,1,04/07/2024 14:06:44,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,SR Losing,Screen 1,1mwqw5,1,continue,,6325,6308,6325,6325,6308,6325,1,6325,0,0,,Click To Continue,Continue Button,2,object-194,SR Losing,,,,,,,,,,,,,,,,,
19,1720094805699,04/07/2024 12:06:45,1720098405699,1,04/07/2024 14:06:45,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,5,Trial,Fixation,gnptrq,1,continue,,968,968,968,968,968,968,1,968,0,0,,Fixation Timing,Fixation,1,object-7,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-7,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 7** points,# Losing,,,,
20,1720094806709,04/07/2024 12:06:46,1720098406709,1,04/07/2024 14:06:46,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,5,Trial,Bandits,91qg1k,2,response,blueBox.png,1002,985,1002,1002,985,1002,1,1002,0,0,,Click Response,Left Arm,1,object-17,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-7,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 7** points,# Losing,,,,
