ParticipantPrivateID,Response,gain,safe,ID,gamma
11371872,1,200,50,5,0.0530755738394842
11371872,1,200,60,5,0.0530755738394842
11371872,1,200,70,5,0.0530755738394842
11371872,1,200,55,5,0.0530755738394842
11371872,1,200,65,5,0.0530755738394842
11371872,1,200,85,5,0.0530755738394842
11371872,0,200,100,5,0.0530755738394842
11371872,1,200,75,5,0.0530755738394842
11371872,1,200,95,5,0.0530755738394842
11371872,1,200,80,5,0.0530755738394842
11371872,1,200,90,5,0.0530755738394842
11371872,0,200,105,5,0.0530755738394842
11371872,0,200,120,5,0.0530755738394842
11371872,0,200,110,5,0.0530755738394842
11371872,0,200,115,5,0.0530755738394842
11375672,0,200,50,16,0.987035590289899
11375672,0,200,60,16,0.987035590289899
11375672,0,200,70,16,0.987035590289899
11375672,0,200,55,16,0.987035590289899
11375672,0,200,65,16,0.987035590289899
11375672,0,200,85,16,0.987035590289899
11375672,0,200,100,16,0.987035590289899
11375672,0,200,75,16,0.987035590289899
11375672,0,200,95,16,0.987035590289899
11375672,0,200,80,16,0.987035590289899
11375672,0,200,90,16,0.987035590289899
11375672,0,200,105,16,0.987035590289899
11375672,0,200,120,16,0.987035590289899
11375672,0,200,110,16,0.987035590289899
11375672,0,200,115,16,0.987035590289899
11375815,1,200,50,25,0.156995855663583
11375815,1,200,60,25,0.156995855663583
11375815,1,200,70,25,0.156995855663583
11375815,1,200,55,25,0.156995855663583
11375815,1,200,65,25,0.156995855663583
11375815,1,200,85,25,0.156995855663583
11375815,0,200,100,25,0.156995855663583
11375815,1,200,75,25,0.156995855663583
11375815,0,200,95,25,0.156995855663583
11375815,1,200,80,25,0.156995855663583
11375815,0,200,90,25,0.156995855663583
11375815,0,200,105,25,0.156995855663583
11375815,0,200,120,25,0.156995855663583
11375815,0,200,110,25,0.156995855663583
11375815,0,200,115,25,0.156995855663583
11375907,0,200,50,31,0.987035590289899
11375907,0,200,60,31,0.987035590289899
11375907,0,200,70,31,0.987035590289899
11375907,0,200,55,31,0.987035590289899
11375907,0,200,65,31,0.987035590289899
11375907,0,200,85,31,0.987035590289899
11375907,0,200,100,31,0.987035590289899
11375907,0,200,75,31,0.987035590289899
11375907,0,200,95,31,0.987035590289899
11375907,0,200,80,31,0.987035590289899
11375907,0,200,90,31,0.987035590289899
11375907,0,200,105,31,0.987035590289899
11375907,0,200,120,31,0.987035590289899
11375907,0,200,110,31,0.987035590289899
11375907,0,200,115,31,0.987035590289899
11376009,1,200,50,37,0.184331381317486
11376009,1,200,60,37,0.184331381317486
11376009,0,200,70,37,0.184331381317486
11376009,1,200,55,37,0.184331381317486
